_id,title,numRating,averageRating,totalVideoLengthInSeconds,createdAt,numSoldTickets,price,preOrderedPrice,publishTime,groupId,groupTitle,groupName,subGroupId,subGroupTitle,subGroupName
5f14aeabcad0d0afe5ea3898,跟 YouTuber 莫彩曦學美國道地的說話習慣,389,4.92,17632,2020-07-19T20:35:55.000Z,27177,1900,1500,2020-10-30T04:00:09.150Z,5c09dda01f7e290020b4bd53,語言,language,5c09ddc01f7e290020b4bd54,英文,english
596b7241ede9500700e69e21,【Illustrator / Ai 入門】五小時保證上手,319,4.96,20508,2017-07-16T14:03:45.000Z,4371,1590,990,2017-12-24T02:48:51.819Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff291f7e290020b4c1a4,平面設計,graphic-design-tool
563c8763423bdd0a00104555,AE/MG || 基礎動畫特效 Vol.1,206,4.88,14255,2015-11-06T10:56:35.000Z,3898,1500,1000,2016-04-11T13:00:53.000Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff121f7e290020b4c19f,動態設計,motion-design-tool
572be49fd60bb3090091d208,讓圖不只是好看的－資訊設計思考力！,322,4.61,28016,2016-05-06T00:26:07.000Z,15042,1800,990,2016-08-07T18:49:31.000Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a16891f7e290020b4c58f,資料彙整,data-compaction
58abfb2f5c4e6507007c2b46,AE/MG || 進階動畫特效 Vol.2,66,4.83,31341,2017-02-21T08:32:47.000Z,1641,2000,1500,2017-06-27T08:37:40.090Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff121f7e290020b4c19f,動態設計,motion-design-tool
5c2465d940e6990020778531,百萬 YouTuber 阿滴－攻心剪輯術！,602,4.95,15769,2018-12-27T05:40:41.000Z,12869,1800,1200,2019-05-19T04:00:09.897Z,5c09e75c1f7e290020b4bee1,攝影,photography,5c09e8ab1f7e290020b4bf05,後製剪輯,post-production-tool
5e8d70a52aa77e6f34d6fded,全民防疫通識課：陳建仁副總統來開講,3506,4.97,2913,2020-04-08T06:35:17.000Z,25252,0,0,2020-04-20T03:50:11.802Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c220e964e32a8001facf4bb,更多生活品味,more-lifestyle
57e8bf56a69c240700069d45,比ㄅㄆㄇ簡單的韓語發音,141,4.97,32613,2016-09-26T06:25:26.000Z,4893,1590,990,2016-11-30T11:01:25.857Z,5c09dda01f7e290020b4bd53,語言,language,5c0a01e01f7e290020b4c24c,韓文,korean
5b875e55297df5001efb869d,用 Python 理財：打造加密貨幣實戰策略,74,5.0,34487,2018-08-30T03:02:45.000Z,2173,3600,2499,2020-12-01T04:00:03.531Z,5c0a106f1f7e290020b4c486,投資理財,finance-and-investment,5fc9a5ff59c2a38e4ccb2146,量化交易,quantitative-trading
58001218da04300700fdee95,Python Web 程式設計入門實戰,41,4.07,31398,2016-10-13T23:00:40.000Z,887,1590,990,2017-04-01T04:05:19.548Z,5c0a05491f7e290020b4c294,程式,programming,5c0a084e1f7e290020b4c2ee,程式語言,programming-language
597df7e2acc137070007013c,Python 資料分析＆機器學習入門,186,4.88,26058,2017-07-30T15:14:42.000Z,1954,2500,1000,2017-11-23T03:51:27.884Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
5a16db01152204001e1beef0,After Effects 基礎合成應用實例 I ,4,4.0,26471,2017-11-23T14:28:17.000Z,103,2500,2000,2018-08-20T04:00:53.686Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff121f7e290020b4c19f,動態設計,motion-design-tool
5add8e08fe4f6d001ee1b60a,空間大數據分析：GIS入門,46,5.0,22960,2018-04-23T07:40:56.000Z,837,2500,1300,2018-07-30T11:01:21.513Z,5c0a05491f7e290020b4c294,程式,programming,5c0a09181f7e290020b4c309,資料科學,data-science
5adefab4fe4f6d001ee1cdd5,教養心法：用數位心智圖提升孩童學習力,9,4.78,13762,2018-04-24T09:36:52.000Z,175,2400,1600,2018-10-08T04:00:43.147Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5ef1a8f9b93e4617ea8d291f,親子教育,parenting
5b6adb26715919001e50fb0f,上台惡夢變美夢：穩健台風的魅力溝通術,40,4.98,13660,2018-08-08T11:59:34.000Z,885,2380,1200,2019-03-06T04:06:57.200Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a19401f7e290020b4c5c1,職場溝通,workplace-communication
56189df9df7b3d0b005c6639,動畫互動網頁程式入門 (HTML/CSS/JS),504,4.97,104721,2015-10-10T05:11:21.000Z,10625,2000,1000,2016-09-01T15:03:04.000Z,5c0a05491f7e290020b4c294,程式,programming,5c0a05d51f7e290020b4c2a7,程式入門,programming-fundamentals
5ee4d65789dc7e4854909ba1,產品設計實戰：用Figma打造絕佳UI/UX,196,4.98,52749,2020-06-13T13:36:23.000Z,4384,4280,2400,2020-12-20T04:00:10.267Z,5c09fc8f1f7e290020b4c168,設計,design,5ef1aa4b1423448377d3e938,介面設計,interface-design
577368b6c2917a110075ff37,Spine 新手快速做動畫超簡單！,8,3.63,1623,2016-06-29T06:20:38.000Z,192,799,699,2016-08-14T09:57:41.000Z,5c09fc8f1f7e290020b4c168,設計,design,5c09ff121f7e290020b4c19f,動態設計,motion-design-tool
61dd20eb5e17570006a83e15,跟著設事快速精通 illustrator,0,0.0,0,2022-01-11T06:17:15.235Z,1960,2250,1800,0,5c09fc8f1f7e290020b4c168,設計,design,5c09ff291f7e290020b4c1a4,平面設計,graphic-design-tool
568552e0e8ff9b20003cf518,角色設計1_人體骨架結構,115,4.96,41425,2015-12-31T16:08:00.000Z,1688,900,800,2016-04-06T08:31:38.000Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5ab1343da356e3001e48700c,在家也能成為氣球達人！,69,5.0,21862,2018-03-20T16:18:05.000Z,585,1500,1000,2018-06-14T04:00:22.284Z,5c0a230e1f7e290020b4c709,手作,handmade,5c0a28e01f7e290020b4c830,氣球,balloon
609dd3159c845e22c62117a3,【短片新手村】零拍攝短影片製作術,0,0.0,0,2021-05-14T01:32:05.000Z,119,1499,999,0,5c09e75c1f7e290020b4bee1,攝影,photography,5fc9a05e0b529060ff5197f8,影視創作,film-production
587f29666ecf3a0700b77d40,跟著插畫家十堂課輕鬆學塔羅,23,4.74,10778,2017-01-18T08:37:58.000Z,378,990,770,2017-07-31T05:24:57.982Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a2a661f7e290020b4c8a8,心靈成長與教育,education
58edb2824909c907004aa38b,浪漫探戈 - 從基本舞步到即興組合,0,0.0,2885,2017-04-12T04:52:18.000Z,91,300,100,2017-08-18T13:48:12.028Z,5c0a29d31f7e290020b4c892,生活品味,lifestyle,5c0a29fe1f7e290020b4c897,運動,exercise
5a32a1c6a99031007d977e9d,內容力：打造品牌的超能力,52,4.73,7640,2017-12-14T16:07:34.000Z,785,1800,999,2018-04-03T04:01:51.913Z,5c0a04ab1f7e290020b4c28b,行銷,marketing,5c0a050d1f7e290020b4c291,文案,copywriting
55e663d7fa223d100058f5cc,電腦繪圖插畫技法 1：灰階篇,25,5.0,4371,2015-09-02T02:49:59.000Z,241,800,600,2015-10-23T16:22:49.338Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
